name,price,ram,ram_unit,rom_type,rom,rom_unit,screen_size,screen_detail,cpu,gpu,battery,weight,rating,link_href,brand,series
Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H (83CV001VVN),31.290.000,32,GB,SSD,1,TB,14.0,"WUXGA, OLED","CPU: Ultra 7, 155H, 3.8GHz",Card: Intel Arc Graphics,Pin: 65Wh,1.39,5.0,https://www.thegioididong.com/laptop/lenovo-yoga-7-14imh9-ultra7-83cv001vvn,LENOVO,Yoga
Lenovo V14 Core 5 120U (83HD0001VN),16.990.000,16,GB,SSD,512,GB,14.0,Full HD (1920 x 1080),"CPU: Core 5, 120U, 1.4GHz",Card: Intel Graphics,Pin: 47 Wh,1.37,5.0,https://www.thegioididong.com/laptop/lenovo-v14-core-5-83hd0001vn,LENOVO,V Series
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN),21.790.000,16,GB,SSD,512,GB,14.0,"WUXGA, OLED","CPU: Ultra 5, 125H, 1.2GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.48,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-14imh9-ultra-5-83da001nvn,LENOVO,IdeaPad
Lenovo Gaming LOQ 15IAX9 i5 12450HX (83GS00DBVN),19.990.000,24,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: i5, 12450HX",Card: RTX 2050 4GB,Pin: 60 Wh,2.38,5.0,https://www.thegioididong.com/laptop/lenovo-loq-15iax9-i5-83gs00dbvn,LENOVO,LOQ Gaming
Lenovo V15 G4 IRU i5 1335U (83A1000LVN),13.490.000,16,GB,SSD,512,GB,15.6,Full HD (1920 x 1080),"CPU: i5, 1335U, 1.3GHz",Card: Intel Iris Xe,Pin: 38Wh,1.67,4.9,https://www.thegioididong.com/laptop/lenovo-v15-g4-iru-i5-83a1000lvn?utm_flashsale=1,LENOVO,V Series
Lenovo Gaming LOQ 15IRX9 i7 13650HX (83DV00D5VN),28.790.000,16,GB,SSD,512,GB,15.6,"Full HD (1920 x 1080), 144Hz","CPU: i7, 13650HX, 2.6GHz",Card: RTX 4050 6GB,Pin: 60 Wh,2.38,5.0,https://www.thegioididong.com/laptop/lenovo-loq-15irx9-i7-83dv00d5vn,LENOVO,LOQ Gaming
Lenovo ThinkBook 14 Ultra 7 155U (21MR0072VN),24.990.000,16,GB,SSD,512,GB,14.0,WUXGA,"CPU: Ultra 7, 155U, 1.7GHz",Card: Intel Graphics,Pin: 45Wh,1.38,5.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-ultra-7-21mr0072vn,LENOVO,ThinkBook
Lenovo Gaming Legion Pro 5 16IRX9 i9 14900HX (83DF0047VN),47.790.000,32,GB,SSD,1,TB,16.0,"WQXGA (2560 x 1600), 240Hz","CPU: i9, 14900HX, 2.2GHz",Card: RTX 4060 8GB,Pin: 80 Wh,2.5,5.0,https://www.thegioididong.com/laptop/lenovo-legion-pro-5-16irx9-i9-83df0047vn,LENOVO,Legion Gaming
Lenovo Ideapad Slim 5 16IMH9 Ultra 5 125H (83DC001RVN),22.790.000,16,GB,SSD,512,GB,16.0,"2K, OLED, 120Hz","CPU: Ultra 5, 125H, 1.2GHz",Card: Intel Arc Graphics,Pin: 57Wh,1.82,5.0,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-16imh9-ultra-5-83dc001rvn,LENOVO,IdeaPad
Lenovo ThinkBook 16 G7 Ultra 5 125U (21MS007GVN),20.290.000,16,GB,SSD,512,GB,16.0,WUXGA,"CPU: Ultra 5, 125U, 1.3GHz",Card: Intel Graphics,Pin: 45Wh,1.7,5.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-16-g7-ultra-5-21ms007gvn,LENOVO,ThinkBook
Lenovo Gaming Legion 5 16IRX9 i7 14650HX (83DG0051VN),42.790.000,16,GB,SSD,1,TB,16.0,"WQXGA (2560 x 1600), 165Hz","CPU: i7, 14650HX, 2.2GHz",Card: RTX 4060 8GB,Pin: 80 Wh,2.36,5.0,https://www.thegioididong.com/laptop/lenovo-legion-5-16irx9-i7-83dg0051vn,LENOVO,Legion Gaming
